Dimension,mass_per_metre,D(mm),B(mm),t(mm),T(mm),r(mm),d(mm),d/t,b/T,I_xx(cm4),I_yy(cm4),Z_xx(cm3),Z_yy(cm3),S_xx(cm3),S_yy(cm3)
254 x 146 x 43,43.0,259.6,147.3,7.2,12.7,7.6,219.0,30.4,5.80,6540,677,504,92,566,141
254 x 146 x 37,37.0,256.0,146.4,6.3,10.9,7.6,219.0,34.8,6.72,5540,571,433,78,483,119
254 x 146 x 31,31.1,251.4,146.1,6.0,8.6,7.6,219.0,36.5,8.49,4410,448,351,61.3,393,94.1
254 x 102 x 28,28.3,260.4,102.2,6.3,10.0,7.6,225.2,35.7,5.11,4000,179,308,34.9,353,54.8
254 x 102 x 25,25.2,257.2,101.9,6.0,8.4,7.6,225.2,37.5,6.07,3410,149,266,29.2,306,46
254 x 102 x 22,22.0,254.0,101.6,5.7,6.8,7.6,225.2,39.5,7.47,2840,119,224,23.5,259,37.3
203 x 133 x 30,30.0,206.8,133.9,6.4,9.6,7.6,172.4,26.9,6.97,2900,385,280,57.5,314,88.2
203 x 133 x 25,25.1,203.2,133.2,5.7,7.8,7.6,172.4,30.2,8.54,2340,308,230,46.2,258,70.9
203 x 102 x 23,23.1,203.2,101.8,5.4,9.3,7.6,169.4,31.4,5.47,2100,164,207,32.2,234,49.7
178 x 102 x 19,19.0,177.8,101.2,4.8,7.9,7.6,146.8,30.6,6.41,1360,137,153,27,171,41.6
152 x 89 x 16,16.0,152.4,88.7,4.5,7.7,7.6,121.8,27.1,5.76,834,89.8,109,20.2,123,31.2
127 x 76 x 13,13.0,127.0,76.0,4.0,7.6,7.6,96.6,24.2,5.00,473,55.7,74.6,14.7,84.2,22.6
